date,state,positive,hospitalizedCumulative,death
,,,,
20200529,ND,2519,164,62
,,,,
20200528,ND,2479,161,60
,,,,
20200527,ND,2438,161,59
,,,,
20200526,ND,2421,156,54
,,,,
20200525,ND,2378,154,54
,,,,
20200524,ND,2338,152,53
,,,,
20200523,ND,2284,150,52
,,,,
20200522,ND,2235,147,52
,,,,
20200521,ND,2165,144,51
,,,,
20200520,ND,2070,142,49
,,,,
20200519,ND,1989,135,45
,,,,
20200518,ND,1929,133,44
,,,,
20200517,ND,1898,130,43
,,,,
20200516,ND,1847,130,42
,,,,
20200515,ND,1760,130,42
,,,,
20200514,ND,1709,129,40
,,,,
20200513,ND,1642,127,40
,,,,
20200512,ND,1568,122,38
,,,,
20200511,ND,1516,115,36
,,,,
20200510,ND,1490,110,35
,,,,
20200509,ND,1464,110,35
,,,,
20200508,ND,1424,104,33
,,,,
20200507,ND,1371,102,31
,,,,
20200506,ND,1322,97,31
,,,,
20200505,ND,1266,95,25
,,,,
20200504,ND,1225,94,25
,,,,
20200503,ND,1191,90,25
,,,,
20200502,ND,1153,90,24
,,,,
20200501,ND,1107,86,23
,,,,
20200430,ND,1067,85,19
,,,,
20200429,ND,1033,82,19
,,,,
20200428,ND,991,79,19
,,,,
20200427,ND,942,77,19
,,,,
20200426,ND,867,71,17
,,,,
20200425,ND,803,70,16
,,,,
20200424,ND,747,67,15
,,,,
20200423,ND,709,65,15
,,,,
20200422,ND,677,62,14
,,,,
20200421,ND,644,54,13
,,,,
20200420,ND,626,53,13
,,,,
20200419,ND,584,51,10
,,,,
20200418,ND,528,47,9
,,,,
20200417,ND,438,47,9
,,,,
20200416,ND,392,45,9
,,,,
20200415,ND,364,44,9
,,,,
20200414,ND,341,42,9
,,,,
20200413,ND,331,40,8
,,,,
20200412,ND,308,39,8
,,,,
20200411,ND,293,36,7
,,,,
20200410,ND,278,36,6
,,,,
20200409,ND,269,34,5
,,,,
20200408,ND,251,34,4
,,,,
20200407,ND,237,33,4
,,,,
20200406,ND,225,32,3
,,,,
20200405,ND,207,31,3
,,,,
20200404,ND,186,30,3
,,,,
20200403,ND,173,29,3
,,,,
20200402,ND,159,28,3
,,,,
20200401,ND,139,23,3
,,,,
20200331,ND,117,21,3
,,,,
20200330,ND,107,19,2
,,,,
20200329,ND,97,17,1
,,,,
20200328,ND,80,16,1
,,,,
20200327,ND,61,13,0
,,,,
20200326,ND,52,10,0
,,,,
20200325,ND,39,8,0
,,,,
20200324,ND,33,5,0
,,,,
20200323,ND,30,4,0
,,,,
20200322,ND,28,3,0
,,,,
20200321,ND,28,3,0
,,,,
20200320,ND,20,,0
,,,,
20200319,ND,15,,0
,,,,
20200318,ND,6,,0
,,,,
20200317,ND,1,,0
,,,,
20201202,NE,130194,4380,1080
,,,,
20201201,NE,128407,4316,1018
,,,,
20201130,NE,126466,4277,989
,,,,
20201129,NE,125323,4246,989
,,,,
20201128,NE,124066,4216,984
,,,,
20201127,NE,122952,4192,982
,,,,
20201126,NE,120076,4182,978
,,,,
20201125,NE,117682,4126,950
,,,,
20201124,NE,115921,4049,934
,,,,
